"text","label"
"Researchers at IISc Bangalore developed low-cost solar panel with 25 percent efficiency.","REAL"
"ALERT: New malware destroying iPhones through WhatsApp. Share warning immediately.","FAKE"
"The government launched initiative to plant 1 billion trees across India.","REAL"
"SHOCKING: Famous politician actually died 5 years ago replaced by lookalike.","FAKE"
"Indias inflation rate fell to 4.8 percent in October driven by lower food prices.","REAL"
"Scientists confirm that meditation and yoga cure all mental illnesses completely.","FAKE"
"The Rajya Sabha passed new consumer protection amendment bill with bipartisan support.","REAL"
"EXPOSED: Water companies adding cancer causing chemicals to tap water in Indian cities.","FAKE"
"Scientists documented tiger population recovery in India reaching 3000 individuals.","REAL"
"BREAKING: New pill makes you lose 30 kg in 30 days with no side effects.","FAKE"
"The government extended deadline for linking Aadhaar with bank accounts.","REAL"
"Scientists funded by government prove WiFi signals cause infertility.","FAKE"
"India won hosting rights for the 2036 Olympic Games.","REAL"
"ALERT: Petrol prices will increase by 50 rupees per liter from midnight tonight.","FAKE"
"A new study in The Lancet found air pollution causes 1.7 million deaths in India.","REAL"
"SHOCKING: Hospital staff secretly euthanizing elderly patients to free up beds.","FAKE"
"The central bank issued new guidelines on digital lending platforms.","REAL"
"New research proves eating only rice and ghee detoxifies the liver in a week.","FAKE"
"India and Germany signed green hydrogen partnership worth 10 billion euros.","REAL"
"BREAKING: Famous Indian company about to go bankrupt. Sell all shares immediately.","FAKE"
"The government announced free bus travel for women in all state-run buses.","REAL"
"Government plans to ban all private vehicles by 2025. Buy electric scooter now.","FAKE"
"Scientists at DRDO successfully tested new anti-drone system.","REAL"
"EXPOSED: Major news channels owned by foreign companies working against India.","FAKE"
"PM Modi inaugurates new 500 km expressway between Delhi and Amritsar.","REAL"
"Scientists confirm that human body can survive 90 days using only sunlight.","FAKE"
"Finance Ministry confirms fiscal deficit at 4.8 percent for FY 2025-26.","REAL"
"ALERT: New tax law requires people to pay 30 percent of WhatsApp earnings.","FAKE"
"ISSROs Gaganyaan mission crew completes final simulation at Bengaluru facility.","REAL"
"SHOCKING: Local hospital using dead bodies for medical experiments.","FAKE"
"Bihar government launches 10000 crore scheme for electric rickshaws.","REAL"
"New study shows fasting 72 hours completely cures type 2 diabetes permanently.","FAKE"
"RBI Governor says digital rupee transactions crossed 1 crore daily in March.","REAL"
"BREAKING: Famous sports star testing positive for banned drugs before championship.","FAKE"
"Delhi High Court directs Uber-Ola to pay 500 crore pending dues to drivers.","REAL"
"Government secretly selling national gold reserves to fund foreign bank accounts.","FAKE"
"Indias forex reserves hit all-time high of 680 billion dollars this week.","REAL"
"SHOCKING: New app can hack your bank account just by knowing your phone number.","FAKE"
"TCS announces 12000 new hires for AI and cybersecurity roles in 2026.","REAL"
"EXPOSED: Famous actress secretly married to billionaire in private ceremony abroad.","FAKE"
"Odisha CM inaugurates Asias largest solar park in Sambalpur.","REAL"
"Scientists paid by meat industry to hide evidence that all meat causes cancer.","FAKE"
"Stock market Nifty crosses 26000 for first time on positive global cues.","REAL"
"ALERT: New government order requires all citizens to submit DNA samples.","FAKE"
"Karnataka bans single-use plastic from April 1 with strict penalties.","REAL"
"BREAKING: Major dam about to collapse. Evacuate downstream areas immediately.","FAKE"
"Indian Navy successfully rescues 18 crew members from hijacked ship near Somalia.","REAL"
"Eating only papaya seeds for 10 days completely eliminates all kidney stones.","FAKE"
"AIIMS Delhi starts free robotic knee surgery camp for senior citizens.","REAL"
"SHOCKED: Indian army officer reveals government knew about attack and did nothing.","FAKE"
"India ranks 3rd in global renewable energy capacity addition in 2025.","REAL"
"New technology allows hackers to drain bank accounts through Bluetooth.","FAKE"
"Google India partners with CBSE to train 5 lakh teachers in AI tools.","REAL"
"EXPOSED: Major religion secretly controlling global financial system.","FAKE"
"Maharashtra announces 25000 stipend for women starting new startups.","REAL"
"Scientists confirm that humans only use 10 percent of brain.","FAKE"
"Indian womens hockey team qualifies for 2028 Olympics after beating Japan.","REAL"
"BREAKING: Country about to declare war. Stock food and water immediately.","FAKE"
"CBSE Class 10 and 12 results to be declared on 20 May 2026.","REAL"
"Government paying influencers to spread false information about opposition.","FAKE"
"PM Modi to speak on Middle East conflict in Lok Sabha at 2 PM today.","REAL"
"New virus spreading through banknotes. Do not touch cash without gloves.","FAKE"
"Indian National injured from falling missile debris in Abu Dhabi.","REAL"
"ALERT: Drinking cold water after meals causes immediate heart attacks.","FAKE"
"PM Modi tops list of longest-serving world leaders.","REAL"
"EXPOSED: Major vaccine company knowingly releasing defective products.","FAKE"
"Adobe appoints Shamik Basu as Vice President for India.","REAL"
"5G towers in India secretly causing cancer and infertility scientists confirm.","FAKE"
"Relief for Maharashtra hotels commercial LPG quota hiked.","REAL"
"PM Modi hiding free cancer cure discovered by Indian doctor since 2022.","FAKE"
"Assam BJP leader Nandita Garlosa joins Congress.","REAL"
"New WhatsApp virus will steal bank money if you receive blue tick message.","FAKE"
"TMC announces 23 candidates for Assam assembly polls.","REAL"
"Government mixing cow urine in all vaccines to control population.","FAKE"
"Germany hiring Indian youth to solve worker shortage.","REAL"
"Iran war is fake Modi sold Indian air bases to America for 50 billion dollars.","FAKE"
"Bengaluru-Mysuru Expressway bus crash 4 dead driver arrested.","REAL"
"Adani will collapse in 7 days stock will go to zero insider leak.","FAKE"
"Kashmiris collect donations for war-hit Iran embassy thanks them.","REAL"
"Modi government banned all temples from using loudspeakers from April.","FAKE"
"Russian crude oil tanker reaches Mangaluru port for offloading.","REAL"
"Drinking hot water with turmeric kills the new Iran-war virus instantly.","FAKE"
"Gold prices crash badly after Iran war tension.","REAL"
"WhatsApp forward child kidnappers using white Bolero in your area alert.","FAKE"
"IPL 2026 CSK inducts Suresh Raina into Hall of Fame.","REAL"
"Reliance Jio 5G will make men impotent within 30 days.","FAKE"
"Mamata Banerjee holds strategy meet with TMC workers.","REAL"
"Pfizer vaccine contains microchips to track Indian citizens.","FAKE"
"India-Canada sign landmark nuclear energy deal.","REAL"
"PM Modi secretly converted to Christianity in Vatican last month.","FAKE"
"Delhi Metro announces new pink line extension.","REAL"
"New law Aadhaar will be cancelled if you do not vote for BJP.","FAKE"
"ISRO successfully tests new reusable launch vehicle.","REAL"
"Scientists confirm moon landing was shot in Hyderabad studio.","FAKE"
"Rajasthan announces 8 percent DA hike for government employees.","REAL"
"Free 1 lakh rupees coming to every Indian account on 26th March.","FAKE"
"NDTV reports new case against Nashik godman for fraud.","REAL"
"Delhi airport closed forever because of bird flu from Iran.","FAKE"
"Delhi announces free WiFi in all metro stations starting April 2026.","REAL"
"RSS planning to change national anthem to Vande Mataram only.","FAKE"
"Uttar Pradesh CM launches 15000 crore EV manufacturing hub in Greater Noida.","REAL"
"WhatsApp alert if your phone shows 5 bars government is spying.","FAKE"
"Indian Army successfully tests indigenous man-portable anti-tank missile.","REAL"
"India GDP actually negative 12 percent but Modi hiding real numbers.","FAKE"
"Hyderabad airport becomes busiest in India with 28 million passengers in 2025.","REAL"
"COVID vaccine caused 90 percent of heart attacks in young Indians.","FAKE"
"Ministry of Education approves new NEP 2.0 with coding from class 3.","REAL"
"New iPhone 17 will be banned in India because it supports Pakistan.","FAKE"
"India becomes 3rd largest economy overtaking Japan as per IMF report.","REAL"
"Banana peel tea cures diabetes and cancer in 3 days AIIMS report.","FAKE"
"Gujarat government gives 1 lakh subsidy for rooftop solar in rural homes.","REAL"
"Trump threatened to nuke Delhi if India doesnt join Iran war.","FAKE"
"Supreme Court stays farm law amendments till next hearing in May.","REAL"
"Government replacing all Hindu gods photos with Modi photo in schools.","FAKE"
"Bengaluru traffic police introduces AI cameras fining 1 lakh vehicles daily.","REAL"
"Electric vehicles will explode during Diwali because of Chinese battery.","FAKE"
"Indian Space Start-up Skyroot launches private rocket successfully.","REAL"
"ALERT: New 2026 law bans all social media after 9 PM for students under 18.","FAKE"
"West Bengal announces 10 percent reservation for transgenders in government jobs.","REAL"
"SHOCKING: Modi government hiding free electricity device invented by IIT student.","FAKE"
"Petrol price reduced by 2 rupees per litre across India from midnight.","REAL"
"BREAKING: Aadhaar will be cancelled if you dont vote for ruling party in 2026.","FAKE"
"DRDO delivers 1000 Tejas fighter jets to Indian Air Force ahead of schedule.","REAL"
"EXPOSED: 5G towers in Delhi secretly spraying chemicals to reduce population.","FAKE"
"PM Modi launches Viksit Bharat 2047 vision document in Parliament.","REAL"
"URGENT: WhatsApp will delete all accounts on 31 March unless you forward this.","FAKE"
"India becomes top destination for global semiconductor investment says report.","REAL"
"Scientists confirm eating mango pickle daily cures thyroid in Indian women.","FAKE"
"The African Union admitted Democratic Republic of Congo as 55th member state.","REAL"
"Government replacing all school books with photos of PM Modi from next session.","FAKE"
"The United Kingdom formally applied to join the Trans-Pacific Partnership.","REAL"
"BREAKING: Petrol will become 300 rupees per litre from April 1 stock up now.","FAKE"
"PM Modi gifts Ayurvedic wellness kits to foreign delegates at G20 health meet.","REAL"
"ALERT: New virus from Iran war spreading in Mumbai wear mask or die.","FAKE"
"New criminal laws BNS and Bharatiya Nagarik Suraksha Sanhita come into effect.","REAL"
"EXPOSED: Reliance Jio giving free 5G but it tracks your every move.","FAKE"
"India and Saudi Arabia agreed to increase bilateral trade to 100 billion dollars.","REAL"
"SHOCKING: Doctors in AIIMS injecting microchips during normal blood tests.","FAKE"
"The government extended deadline for linking Aadhaar with bank accounts by six months.","REAL"
"New law anyone criticizing government on WhatsApp will get 10 years jail.","FAKE"
"India won the hosting rights for the 2036 Olympic Games after competitive bidding.","REAL"
"Eating 2 bananas and honey every morning makes you live 100 years secret study.","FAKE"
"Scientists documented recovery of tiger population in India reaching 3000 individuals.","REAL"
"PM Modi secretly bought 5000 private islands for family using public money.","FAKE"
"The government launched new initiative to plant 1 billion trees across India.","REAL"
"BREAKING: Stock market will crash completely on 25 March sell everything.","FAKE"
"Researchers found diet rich in vegetables reduces heart disease risk.","REAL"
"Government mixing nano trackers in Mid-Day Meal for school children.","FAKE"
"ALERT: New UPI rule if you send 5000 today account will be frozen.","FAKE"
"The Bombay High Court ruled protecting rights of gig workers on app platforms.","REAL"
"Scientists confirm cow dung smoke kills all viruses including new Iran flu.","FAKE"
"India exported record 25 million tonnes of rice this year.","REAL"
"EXPOSED: Bollywood celebrities paid to spread fake news against opposition.","FAKE"
"The government announced new pension scheme covering 40 million unorganized workers.","REAL"
"SHOCKING: Supreme Court judge replaced by AI robot last month.","FAKE"
"New 2026 budget secretly takes 40 percent tax on all WhatsApp business earnings.","FAKE"
"India and Japan agreed to cooperate on semiconductor manufacturing and supply chain.","REAL"
"Government is putting mind control drugs in COVID boosters distributed in India.","FAKE"
"Elon Musk secretly buying all Indian media companies to control elections.","FAKE"
"IIT Bombay develops AI tool to detect crop disease saving farmers 30 percent losses.","REAL"
"WhatsApp will shut down permanently on April 15 upgrade to new app before then.","FAKE"
"India Post launches new speed post tracking with real-time GPS updates.","REAL"
"Bill Gates planning to buy entire Goa to build secret headquarters.","FAKE"
"RBI launches new UPI feature allowing international transactions in 50 countries.","REAL"
"Jio fiber secretly records all conversations and sends to Chinese servers.","FAKE"
"IIT Madras launches free online degree program in data science and AI.","REAL"
"Government hiding that new COVID variant kills 80 percent of unvaccinated people.","FAKE"
"National Highway Authority completes 12000 km of new roads in 2025.","REAL"
"Scientists confirm turmeric milk cures all viral infections overnight.","FAKE"
"India launches first domestically made aircraft carrier INS Vikrant on patrol.","REAL"
"New app can read your WhatsApp messages without you knowing delete immediately.","FAKE"
"UP government distributes 1 crore free tablets to rural students.","REAL"
"Indian soil can absorb unlimited carbon NASA confirms climate change solved.","FAKE"
"Zomato and Swiggy merge to form single food delivery giant in India.","REAL"
"All bank lockers will be sealed by government from next month new rule.","FAKE"
"India sets new world record in solar energy installation in single day.","REAL"
"Phone battery explodes if charged overnight due to new Chinese malware.","FAKE"
"Paytm signs deal with SBI to handle 20 crore new customer accounts.","REAL"
"Eating raw turmeric root for 21 days completely reverses kidney damage.","FAKE"
"Indian Railways completes electrification of entire broad gauge network.","REAL"
"Whatsapp gold version gives extra features forward to 50 contacts to activate.","FAKE"
"SEBI introduces new rules protecting retail investors from pump and dump schemes.","REAL"
"Secret study proves Coca Cola contains substance that causes Alzheimers.","FAKE"
"India sends first astronaut to International Space Station as part of NASA deal.","REAL"
"Mustard oil mixed with garlic cures stage 4 cancer confirmed by German doctors.","FAKE"
"Ola Electric achieves 1 lakh monthly EV sales milestone for first time.","REAL"
"Indian passport now invalid in 40 countries due to new global sanctions.","FAKE"
"Telangana launches free coding bootcamp for 50000 unemployed youth.","REAL"
"Scientists confirm WiFi signals cause hearing loss in children under 12.","FAKE"
"IIT Delhi develops cheap blood test that detects cancer 5 years before symptoms.","REAL"
"Onion prices will skyrocket to 500 rupees per kg from next week insiders reveal.","FAKE"
"NITI Aayog releases report showing 10 crore Indians lifted out of poverty.","REAL"
"Pakistan secretly launching cyber attack to destroy all Aadhaar records.","FAKE"
"India-UK free trade agreement signed after 3 years of negotiations.","REAL"
"New government chip in all sim cards tracks your location 24 hours.","FAKE"
"Chandrayaan-4 mission approved with target launch in 2027 says ISRO.","REAL"
"WhatsApp Pink is dangerous malware disguised as update do not install.","FAKE"
"India emerges as top global destination for data center investment in 2026.","REAL"
"Dark chocolate cures depression permanently according to new Indian study.","FAKE"
"Uttarakhand opens new tunnel reducing Kedarnath travel time to 2 hours.","REAL"
"NASA secretly paying Bollywood to distract Indians from space missions.","FAKE"
"India and Australia sign critical minerals partnership for battery supply chain.","REAL"
"Cooking in aluminum vessels causes instant Alzheimers confirm doctors.","FAKE"
"Swachh Bharat Mission achieves 100 percent open defecation free status.","REAL"
"Mobile tower radiation in Rajasthan causing mass infertility in cattle.","FAKE"
"PM Modi and President Biden hold bilateral talks on trade and climate.","REAL"
"New tax will charge 50 percent on all online purchases above 500 rupees.","FAKE"
"Amul becomes largest dairy cooperative in world surpassing New Zealand brand.","REAL"
"Scientists find that sleeping with phone nearby causes permanent memory loss.","FAKE"
"Indian pharma companies get record FDA approvals for generic drugs in 2025.","REAL"
"Government planning to track all cash transactions above 100 rupees.","FAKE"
"Infosys announces plan to hire 50000 freshers in FY 2026.","REAL"
"Lemon juice kills all bacteria and viruses replace all medicines with it.","FAKE"
"India successfully completes test of hypersonic missile with 2000 km range.","REAL"
"New app Truecaller Plus is malware that steals your contacts and bank details.","FAKE"
"IRCTC launches new feature for instant train ticket cancellation refunds.","REAL"
"Scientists prove that neem leaves eaten daily prevent all cancers completely.","FAKE"
"India-Japan bullet train corridor receives final environmental clearance.","REAL"
"Government testing 5G mind control on residents of 10 Indian cities secretly.","FAKE"
"IIT Kharagpur develops AI system that predicts floods 7 days in advance.","REAL"
"Dead sea water mixed with desi ghee cures arthritis permanently say experts.","FAKE"
"Tata Motors launches electric truck targeting commercial fleet operators.","REAL"
"Your SIM card will be deactivated in 24 hours if you dont forward this message.","FAKE"
"India and UAE agree to settle trade in Indian rupees for oil imports.","REAL"
"SHOCKING: New Aadhaar update will delete account if no fingerprint scan by April 2026","FAKE"
"BREAKING: All UPI payments stopped for 48 hours due to cyber attack from China","FAKE"
"EXPOSED: PM Modi using AI deepfake for all speeches since last year","FAKE"
"ALERT: Drinking jeera water every morning melts belly fat in 7 days — AIIMS secret","FAKE"
"Government hiding 1000 year old Ram temple treasure worth 5000 crore","FAKE"
"New law forces every Indian to install government app that records all calls","FAKE"
"Scientists confirm eating ghee with black pepper cures all joint pain instantly","FAKE"
"BREAKING: Sensex will hit zero on 1 April due to hidden economic crisis","FAKE"
"WhatsApp deleting accounts of everyone who didn't vote in 2024","FAKE"
"PM Modi family owns 70% of all Indian airports secretly","FAKE"
"New 5G towers in villages will turn people into zombies by June","FAKE"
"ALERT: Free 5000 rupees in every Jan Dhan account on Holi 2026","FAKE"
"Supreme Court banned all festivals from 2026 to promote one religion","FAKE"
"Indian Army chief reveals Pakistan already controls half of Ladakh","FAKE"
"SHOCKING: Every vaccine in India now contains pig blood","FAKE"
"Eating only curd rice for 21 days cures BP and sugar forever","FAKE"
"BREAKING: Flipkart and Amazon shutting down in India from next month","FAKE"
"Government replacing all Indian flags with party symbol from Republic Day","FAKE"
"New virus from Pakistan border kills in 3 hours, no cure","FAKE"
"ALERT: If your PAN card ends with 7 you will lose all property","FAKE"
"Delhi Metro to be free for all women and senior citizens from April","REAL"
"Telangana government launches ₹5000 monthly stipend for unemployed youth","REAL"
"Indian Railways introduces 50 new Vande Bharat trains in 2026 budget","REAL"
"CBSE reduces syllabus by 15% for Class 10 & 12 board exams 2027","REAL"
"India's first private airport terminal opens in Lucknow today","REAL"
"Finance Minister announces zero tax on income up to ₹12 lakh for FY 2026-27","REAL"
"Kerala becomes first state to achieve 100% literacy in digital skills","REAL"
"ISRO to send Indian astronaut to International Space Station in 2027","REAL"
"Rajasthan CM launches free smartphone scheme for girl students","REAL"
"Bombay Stock Exchange crosses 90,000 points for first time","REAL"
"Tamil Nadu approves ₹8000 crore for Chennai-Salem high speed rail","REAL"
"Indian Navy commissions INS Vikrant's second squadron with 12 new jets","REAL"
"Health Ministry starts free cancer screening camps in 500 districts","REAL"
"Google Pay India crosses 50 crore monthly users in March 2026","REAL"
"UP government builds 1 lakh new toilets under Swachh Bharat 2.0","REAL"
"Scientists from IIT Madras create edible plastic from sugarcane waste","REAL"
"India wins gold in Chess Olympiad 2026, beats China in final","REAL"
"New metro in Pune starts operation between Hinjewadi and Shivajinagar","REAL"
"PM Modi launches 'One Nation One Election' pilot in 3 states","REAL"
"Assam records highest tea production in 50 years","REAL"
